"Amendment #",Patron,Department,Agency,Description,"GF Dollars FY2025","GF Dollars FY2026","NGF Dollars FY2025","NGF Dollars FY2026"," GF Positions FY2025"," GF Positions FY2026"," NGF Positions FY2025"," NGF Positions FY2026","Language",Explanation,
288 #43h,"Sickles","Health and Human Resources","Department of Medical Assistance Services","Medicaid Developmental Disability Waiver Services Rate Increase","$187,727,211","$187,727,211","$220,039,918","$220,039,918",,,,,"Page 392, line 12, strike 'three' and insert 'nineteen'. ","<p>(This amendment provides $187.7 million from the general fund and $220.0 million from nongeneral funds each year to increase Medicaid Developmental Disability (DD) Waiver rates by 32.0 percent over the biennium for those services in the DD Waivers most directly impacted by the minimum wage increase and to offset the increasing costs. Adequate rates are one of the critical elements of building and maintaining the capacity of the system and will be especially critical if there is an influx of 'new' slots.)</p>",
288 #44h,"Sickles","Health and Human Resources","Department of Medical Assistance Services","HB 2394: Medicaid Presumptive Eligibility for Long-Term Care Services","","$9,800,000","","$10,200,000",,,,,"","<p>(This amendment provides $9.8 million from the general fund and $10.2 million from nongeneral funds in fiscal year 2026 to implement the provisions of House Bill 2394, which directs the Department of Medical Assistance Services to provide presumptive eligibility for Medicaid, including long-term services and supports where appropriate, to individuals who meet certain criteria. The provision of presumptive eligibility is conditional on the department obtaining all necessary approvals and federal financial participation. The bill will sunset on January 1, 2026 if such approval and federal financial participation is not obtained.)</p>",
292 #1h,"Sickles","Health and Human Resources","Department of Medical Assistance Services","Rate Study of Medicaid Funded Community Health Worker Services","","$125,000","","$125,000",,,,,"Page 402, after line 29, insert:'MM. Out of this appropriation, $125,000 from the general fund and $125,000 from nongeneral funds the second year is provided for the Department of Medical Assistance Services to conduct a rate study to determine cost to expand Medicaid coverage to Community Health Worker services for Medicaid beneficiaries.  The rates study shall be completed by November 1, 2025 and the department shall report its findings to the Governor and the Chairs of the House Appropriations and Senate Finance and Appropriations Committees, and the Joint Commission on Health Care.' ","<p>(This amendment adds $125,000 from the general fund and $125,000 from nongeneral funds in fiscal year 2026 for the Department of Medical Assistance Services to conduct and report on a rate study to expand Medicaid coverage to Community Health Worker services for Medicaid beneficiaries.)</p>",
292 #5h,"Sickles","Health and Human Resources","Department of Medical Assistance Services","Feasibility of Adding Core Services Waiver","","$125,000","","$125,000",,,,,"Page 402, after line 29, insert:'MM. The Department of Medical Assistance Services shall conduct a feasibility study on the addition of a 1915(k) waiver that contains complementary core services for those with developmental disabilities, without the requirement to meet nursing facility criteria. Core services shall include and not be limited to personal assistance, respite, companion, services facilitation, in-home supports, and assistive technology in both consumer-directed and agency-directed where applicable. The report shall involve all relevant stakeholders, including advocacy groups and individuals with developmental disabilities. The department shall submit the report to the Chairs of the House Appropriations and Senate Finance and Appropriations Committees by November 1, 2025.' ","<p>(This amendment directs the Department of Medical Assistance Services to conduct a feasibility study of the addition of a 1915(k) waiver that contains complementary core services for those with developmental disabilities, without the requirement to meet nursing facility criteria. Core services shall include and not be limited to personal assistance, respite, companion, services facilitation, in-home supports, and assistive technology through consumer-directed and agency-directed services where applicable.)</p>",
292 #10h,"Sickles","Health and Human Resources","Department of Medical Assistance Services","Medicaid Appeal Timeframe",,,,,,,,,"Page 402, after line 29, insert:'MM. The Department of Medical Assistance Services shall change the state fair hearing eligibility appeal time limit to 90 days. The Department shall have the authority to implement these changes prior to the completion of any regulatory process and shall amend the state plan as necessary.' ","<p>(This amendment directs the Department of Medical Assistance Servicesto to change the state fair hearing eligibility appeal time limit from 30 to 90 days. Managed Care Organization state fair hearing appeals allow 120 days. To better align appeal time limits, eligibility appeal limits would change to the federally allowed 90 days. This would also help address mail delays and system mailing problems.)</p>",
295 #3h,"Sickles","Health and Human Resources","Department of Behavioral Health and Developmental Services","Expand Boost!","","$1,100,000",,,,,,,"Page 408, line 21, strike the second '$575,000' and insert:'$1,675,000'. ","<p>(This amendment provides $1.1 million the second year from the general fund for the Department of Behavioral Health and Developmental Services to contract with the Virginia Health Care Foundation to expand the Boost! program, formerly known as Boost 200. Boost! pays for supervisory hours and licensure exam preparation for individuals obtaining their masters of social work and masters of counseling. This funding will add 60 more slots to the program, bringing the total to 383 slots.)</p>",
296 #6h,"Sickles","Health and Human Resources","Department of Behavioral Health and Developmental Services","Create Pilot Sites for Alternative Placements in Nursing Facilities","","$12,000,000",,,,,,,"Page 413, line 13, after 'N.' insert '1.'Page 413, line 13, strike the second '$1,650,000' and insert:'$13,650,000'.Page 413, line 14, strike 'for pilot programs for' and insert:'to continue a pilot program for Medicaid eligible'.Page 413, after line 15, insert:'2. Of the amounts in N.1., $7,600,000 the second year shall be used to develop up to four additional pilot sites across the Commonwealth at a cost of up to $1,650,000 each. Approval and funding for the additional pilot sites shall be dependent upon an agreement between the Department of Behavioral Health and Developmental Services and the Community Services Board in the region where the pilot program is located. Up to $250,000 per new pilot program shall be used for facility start-up costs, such as infrastructure or other non-reimbursed expenses.3. Of the amounts in N.1., $4,400,000 the second year is provided for up to five regional multi-disciplinary teams for older adults. These teams shall provide clinical, medical, nursing, and behavioral expertise and psychiatric services to nursing facilities and assisted living facilities, with priority given to pilot programs developed under N.1.' ","<p>(This amendment provides $12.0 million the second year from the general fund to create alternative placements for Medicaid eligible individuals with dementia who would otherwise need services in state facilities. $7.6 million is directed to develop four pilot sites for individuals with dementia or geriatric individuals who may otherwise be admitted to a state hospital. $4.4 million is also provided to develop five regional multi-disciplinary teams to provide a variety of supportive services to individuals in nursing facilities and assisted living facilities.)</p>",
296 #7h,"Sickles","Health and Human Resources","Department of Behavioral Health and Developmental Services","Provider Capacity for DD Waiver Services","","$686,000",,,,,,,"Page 415, after line 1, insert:'Z. Out of this appropriation, $686,000 the second year from the general fund shall be provided for a Provider Development Incubator intended to stimulate workforce development and business expansion to grow provider capacity for individuals with disabilities receiving waiver services. Of this amount, $125,000 shall be provided for grants to providers for startup costs, $200,000 for a targeted direct support professional workforce development and recruitment campaign, $50,000 for education development for individuals and families receiving services, $75,000 for an interactive information packet for new waiver recipients to assist in navigating the service system, and $236,000 for a project team and administrative costs to implement the program.' ","<p>(This amendment adds $686,000 the second year from the general fund for a Provider Development Incubator intended to stimulate workforce development and business expansion to grow provider capacity for individuals with disabilities receiving waiver services. The amount is allocated such that $125,000 is for grants to providers for startup costs, $200,000 is for a targeted direct support professional workforce development & recruitment campaign, $50,000 is for education development for individuals and families receiving services, $75,000 is for an interactive information packet for new waiver recipients to assist in navigating the service system, and $236,000 is for a project team and administrative costs to implement the program.)</p>",
297 #5h,"Sickles","Health and Human Resources","Grants to Localities","CSB Support Coordinators","","$8,700,000",,,,,,,"Page 421, after line 23, insert:'VV. Out of this appropriation, $8,700,000 the second year from the general fund is provided for Community Services Boards to hire additional support coordinators.' ","<p>(This amendment provides $8.7 million the second year from the general fund for Community Services Boards (CSBs) to hire additional support coordinators. CSBs are the single point of entry for waiver services and are the sole providers of waiver support coordination. Additional support coordinators are needed to handle the increased caseload due to the significant addition of DD waiver slots in the 2024-2026 biennium. This funding would support 96 additional support coordinators between the time they are hired and when they can carry a full caseload and begin billing Medicaid.)</p>",
315 #3h,"Sickles","Health and Human Resources","Department for Aging and Rehabilitative Services","Areas Agencies on Aging Funding","","$4,350,000",,,,,,,"Page 431, after line 44, insert:'N. Out of this appropriation, $4,350,000 from the general fund the second year shall be provided to increase support to Area Agencies on Aging.' ","<p>(This amendment provides $4.4 million from the general fund the second year to cover increased costs for providing current services for the Area Agencies on Aging and the increased demand for home care services and transportation.)</p>",
315 #6h,"Sickles","Health and Human Resources","Department for Aging and Rehabilitative Services","Non-Emergency Medical Transportation Services",,,,,,,,,"Page 431, after line 44, insert:'N. Out of this appropriation $5,000,000 from the general fund the second year shall be provided for non-emergency medical transportation services for uninsured Virginians.  Funding shall be provided to Area Agencies on Aging (AAAs) to provide transportation through contracts with federally qualified health centers and free clinics for individuals using medical services provided by these organizations. Priority shall be given to AAAs serving rural localities.' ","<p>(This amendment provides $5.0 million for Area Agencies on Aging (AAAs) to provide non-emergency medical transportation services to uninsured Virginians seeking medical care at free clinics and federally qualified health center.  Funding priority will be given to AAAs serving rural localities.)</p>",
331 #6h,"Sickles","Health and Human Resources","Department of Social Services","Northern Virginia Family Services",,,"","$125,000",,,,,"Page 447, line 23, strike the second '$2,000,000' and insert:'$2,125,000'. ","<p>(This amendment provides $125,000 the second year from the Temporary Assistance for Needy Families (TANF) block grant to Northern Virginia Family Services to provide services that address the basic needs of families in crisis, including providing food, financial assistance, access to health services, and workforce development programs. This amendment brings total funding to fiscal year 2026 to $2.1 million from nongeneral funds.)</p>",
331 #7h,"Sickles","Health and Human Resources","Department of Social Services","Youth for Tomorrow","","$250,000",,,,,,,"Page 448, line 54, strike the second '$200,000' and insert:'$450,000'. ","<p>(This amendment provides $250,000 the second year from the general fund to implement a comprehensive pilot foster care program at Youth for Tomorrow, which provides comprehensive residential, education, and counseling services to at-risk youth in Virginia who have been sexually exploited. Funding for this pilot program will allow for the addition of foster care and family specialists and the recruitment of more families to participate with Youth for Tomorrow, as well as to provide behavioral health services, workforce development, kinship expansion to achieve permanency in a home, and other support services to foster care youth.)</p>",
359 #4h,"Sickles","Natural and Historic Resources","Department of Conservation and Recreation","Falkland State Conservation Area - Phase I Opening","","$1,361,000",,,"","4.00","","","Page 472, after line 16, insert:'Y. Out of the appropriation in this item, $1,361,000 the second year from the general fund is provided to support the opening of Falkland State Conservation Area in the County of Halifax.' ","<p>(This amendment provides $1.4 million from the general fund and four positions in fiscal year 2026 to support the opening of Falkland State Conservation Area in Halifax County. The 7,264 acre Falkland State Conservation Area was donated to the Department of Conservation and Recreation in 2021. The property includes the historic Syndor House Louse, two natural area preserve dedication areas, a guest house and numerous farm building. The funding request and staffing will support the beginning of public access and the development and maintenance of minimal recreation facilities to include interpretive hiking trails, an equestrian trail, parking areas, habitat management and restoration areas, and the development of signage and educational programming.)</p>",
360 #6h,"Sickles","Natural and Historic Resources","Department of Conservation and Recreation","Falkland State Conservation Area Master Plan and Syndor Lodge Restoration Assessment","","$350,000",,,,,,,"Page 474, after line 22, insert:'P. Out of the appropriation in this item, $350,000 the second year from the general fund is provided for the Department to develop the Falkland State Conservation Area Master Plan and a Restoration Assessment for the Syndor House Lodge.' ","<p>(This amendment provides $350,000 from the general fund in fiscal year 2026 to support the development of the Falkland State Conservation Area Master Plan and a restoration assessment for the Syndor House Lodge. The 7,264 Falkland State Conservation Area was donated to the Department of Conservation and Recreation in 2021.)</p>",
398 #3h,"Sickles","Public Safety and Homeland Security","Department of Emergency Management","Study Composition of Emergency Management Regions",,,,,,,,,"Page 516, after line 19, insert:'F. The Department of Emergency Management and the Department of Health shall study the makeup and composition of the seven emergency management regions, the five Virginia health regions, and the 35 local health districts to determine the feasibility of mutually beneficial alignment of such regions and districts. The Departments shall complete their work and report their findings and recommendations to the General Assembly no later than November 30, 2025.' ","<p>(This amendment directs the Departments of Emergency Management and Health to study the makeup of the seven emergency management regions.)</p>",
426 #1h,"Sickles","Transportation","Department of Motor Vehicles","Funding for DMV Outreach Coordinator ","","$100,000",,,"","1.00","","","","<p>(This amendment provides $100,000 general fund and 1 FTE in the second year for the DMV to reinstate the outreach coordinator position.)</p>",
433 #1h,"Sickles","Transportation","Department of Rail and Public Transportation","Restore Funding for WMATA Operating Report","$3,330,000","",,,,,,,"Page 547, line 2, strike '$133,570,000' and insert '$136,900,000'. ","<p>(This amendment restores $3.3 million in general fund support for WMATA operating support. The Governor's amendment moved $73.4 million from the general fund from the second year to the first year and removed all second year funding, reflecting a net savings of $11.1 million general fund. An updated estimate shows a revised savings of $7.8 million compared to Chapter 2.)</p>",
451 #3h,"Sickles","Transportation","Virginia Port Authority","Funding for NOAA PORTS Stations as the Non-Federal Sponsor","","$325,000",,,,,,,"Page 565, after line 14, insert:'F. Out of the amounts in this item, $325,000 the second year from the general fund is provided to the Authority to fund the non-federal sponsorship share of not more than twelve National Oceanic and Atmospheric Administration (NOAA) Physical Oceanographic Real-Time System (PORTS) stations in the southern Chesapeake Bay.' ","<p>(This amendment provides $325,000 general fund in fiscal year 2026 for the Port to represent the state match for the NOAA PORTS stations.)</p>",
475 #1h,"Sickles","Independent Agencies","State Corporation Commission","SCC: Market Conduct Examination ",,,,,,,,,"Page 594, line 21, before 'Out', insert, 'A.'Page 594, after line 25, insert:'B.1. The State Corporation Commission's Bureau of Insurance (the Bureau) shall establish, in coordination with the Secretary of Health and Human Resources, a workgroup to: (i) evaluate the effectiveness of the frequency and scope of examinations of carriers licensed by the Bureau, whether on a routine periodic basis, or in response to complaints filed by health plan enrollees or providers pursuant to § 38.2-1317 et seq., Code of Virginia, (ii) evaluate the Bureau's process for developing corrective action plans for carrier violations of law identified in such examinations and ensuring satisfactory completion and ongoing compliance with such corrective action plans, (iii) evaluate the Bureau's process for determining monetary penalties on carriers for actual or alleged violations of law identified in any examination or for purposes of settlement of same pursuant to § 38.2-218, (iv) evaluate the Bureau's process for requiring carriers to make restitution payments to providers for actual or alleged violations of law identified in any examination for purposes of settlement of same and for communicating with providers information necessary to ensure proper payment and reconciliation of such restitution payments, (v) develop recommendations for increasing public transparency of the results of such examinations and any resulting corrective action plans, penalties, and restitution payment demands imposed upon carriers, (vii) evaluate actions that should be undertaken by the Bureau in response to “knowing,” or repeat, violations through such examinations, including whether and under what circumstances these would be identified as general business practices under § 38.2-510, and (vii) evaluate options for establishing error tolerance thresholds to assist in streamlining examinations and effectively highlighting significant areas of non-compliance.  Based upon the findings of this working group, the workgroup shall make recommendations for regulating carriers and the performance of such examinations that the Commissioner should consider as recommendations to the General Assembly for legislation pursuant to its authority under § 38.2-201.2. The workgroup shall include relevant stakeholders, including representatives from the Virginia Association of Health Plans, the Medical Society of Virginia, the Virginia Hospital & Healthcare Association, and other parties with an interest in examinations of carrier business practices and enforcement and compliance activity related to same.3.The workgroup shall report its findings and recommendations to the Chairs of the Senate Committees on Commerce and Labor and Education and Health, and the House Committees on Labor and Commerce and Health and Human Services, by November 1, 2025.' ","<p>(This amendment directs the State Corporation Commission, in collaboration with the Secretary of Health and Human Resources, to convene a workgroup to evaluate Bureau of Insurance market conduct examinations of carriers licensed by the Bureau, with a report on findings and recommendations to Chairs of the Senate Committees on Commerce and Labor and Education and Health, and the House Committees on Labor and Commerce and Health and Human Services no later than November 1, 2025.)</p>",
C-24 #1h,"Sickles","Health and Human Resources","Department of Behavioral Health and Developmental Services","DBHDS: Workgroup on Replacement Northern Virginia Mental Health Institute",,,,,,,,,"Page 623, after line 12, insert:'C. The Department of Behavioral Health and Developmental Services (DBHDS) shall form a workgroup to review and recommend placement for a replacement Northern Virginia Mental Health Institute. The workgroup shall include representatives from the Department of General Services, local public and private stakeholders, and other partners as necessary to make the best determination of appropriate location of a future facility.  As needed, DBHDS may use funds appropriated to this item to support any research or contractual costs associated with this workgroup.  The department shall report findings and recommendations of the workgroup to the Chairs of the Committees of House Appropriations and Senate Finance and Appropriations, as well as to the Committees of House Health and Human Services and Senate Education and Health, no later than November 1, 2025.' ","<p>(This language amendment directs the Department of Behavioral Health and Developmental Services to establish a workgroup to review and recommend location of a future replacement facility for the Northern Virginia Mental Health Institute.)</p>",
C-29.30 #1h,"Sickles","Natural and Historic Resources","Department of Conservation and Recreation","DCR:  Improvements to Natural Area Preserves","","$7,020,000",,,,,,,"

   ","<p>(This amendment provides $7.0 million general fund the second year for an umbrella capital project to support the development, expansion and enhancement of public access facilities on Natural Area Preserves (NAPs) under the control and management of the Department of Conservation and Recreation. Specifically the project would include new construction and improvements to parking areas to affect ADA upgrades, new interpretive trails and boardwalk construction, hiking trail expansions, and removal of hazardous debris to protect public safety and increase hiking opportunities.)</p>",
C-52.10 #4h,"Sickles","Central Appropriations","Central Capital Outlay","UVA: Center for the Arts","","$205,000,000","","$110,000,000",,,,,"Page 638, line 10, after 'year', insert: 'and $205,000,000 the second year'.Page 638, line 11, after 'year', insert: 'and $110,000,000 the second year'.Page 638, after line 19, insert:'207              The University of Virginia                 Construct Center for the Arts'. ","<p>(This amendment provides $205.0 million the first year from the general fund and $110.0 million from nongeneral fund resources to add a project to the higher education construction pool to construct a Center for the Arts for the University of Virginia.)</p>",
C-52.20 #4h,"Sickles","Central Appropriations","Central Capital Outlay","Gunston Hall: New Visitor Center and Museum","$50,000,000","",,,,,,,"Page 638, line 44, strike '$130,451,057' and insert, '$180,451,057'.Page 639, after line 35, insert:'417                  Gunston Hall               Construct New Visitor Center and Museum'. ","<p>(This amendment provides $50.0 million the first year from the general fund to add a project to the state agency construction pool for a new Visitor Center and Museum at Gunston Hall.)</p>",
12 #1h,"Simon","Legislative Department","Virginia Freedom of Information Advisory Council","FOIA:  Operating Increase","","$75,000",,,,,,,"","<p>(This amendment provides $75,000 the second year from the general fund to increase the base appropriation for the Council to reflect operational cost increases.)</p>",
12 #2h,"Simon","Legislative Department","Virginia Freedom of Information Advisory Council","FOIA:  Additional Staffing","","$191,000",,,"","2.00","","","","<p>(This amendment provides $191,000 the second year from the general fund and two positions to increase staffing for the Council to address growing workload requirements, particularly with regard to the statewide training for state and local officials and requests for formal and informal opinions.) </p>",
25 #2h,"Simon","Legislative Department","Joint Legislative Audit and Review Commission","HJ440: JLARC Study of the Removal of Books from Public School Libraries","","$50,000",,,,,,,"","<p>(This amendment provides $50,000 the second year from the general fund to support costs associated with the implementation of House Joint Resolution 440, which directs the Commission to study the removal of books from public school libraries between July 1, 2020, and December 31, 2024.  This is a placeholder amendment until the final fiscal impact is known.)</p>",
25 #3h,"Simon","Legislative Department","Joint Legislative Audit and Review Commission","HB 2171: JLARC Study of iGaming ","","$50,000",,,,,,,"","<p>(This amendment provides $50,000 the second year from the general fund to support costs associated with the implementation of House Bill 2171, which directs the Commission to study iGaming in the Commonwealth. This is a placeholder amendment until the final fiscal impact is known.)</p>",
359 #16h,"Simon","Natural and Historic Resources","Department of Conservation and Recreation","Lake Barcroft Dam","","$500,000",,,,,,,"Page 470, line 39, strike '$732,147' and insert '$1,232,147'.Page 470, after line 3, insert:'3. Out of the amounts appropriated for this item, $500,000 the second year from the general fund is provided for the maintenance and improvement of Lake Barcroft Dam.' ","<p>(This amendment provides $500,000 general fund the second year to support maintenance and improvement of Lake Barcroft Dam in the County of Fairfax.)</p>",
117 #4h,"Simonds","Education: Elementary and Secondary","Department of Education, Central Office Operations","HB 1829 Office of Mathematics Improvement","","$2,460,000",,,"","13.00","","","Page 144, after line 12, insert:'Q. Out of this appropriation, $500,000 the second year from the general fund is provided to support development of additional advanced mathematics course offerings through Virtual Virginia.' ","<p>(This amendment provides $2.5 million in fiscal year 2026 and 13 positions to implement the provisions of House Bill 1829. This amendment designates $500,000 of the appropriation for one-time costs associated with developing additional advanced mathematics courses through Virtual Virginia.)</p>",
125 #9h,"Simonds","Education: Elementary and Secondary","Direct Aid to Public Education","HB 1831 - Eliminate Support Cap and Other SOQ Adjustments ","","$222,900,000",,,,,,,"Page 168, after line 49, insert:'Starting with fiscal year 2029, in calculating costs in the Standards of Quality funding formula, the Department shall include all employee benefit costs incurred by a majority of all school divisions, including costs related to retirement, health care, life insurance, and payout of earned but unused leave. Starting in fiscal year 2026, the Department shall collect in the Annual School Report data collection any data relevant to completing such calculation.'Page 173, at the end of line 41, insert:'Starting in the 2026-2028 biennium, in calculating the deduction of such federal funds, the Department shall examine actual school division spending on support costs as a percentage of actual school division spending on all public education costs, with certain exceptions such as food service.'Page 179, strike lines 43 through 48. ","<p>(This amendment includes $222.9 million the second year from the general fund to fully eliminate the cap on the number of SOQ-funded support positions as provided in House Bill 1831.  This amendment and the bill also direct the Department of Education to make changes to basic aid calculations in future biennia related to: (i) deduction of federal aid from basic aid funding and (ii) recognition of all employee benefit costs incurred by a majority of school divisions.)   </p>",
125.10 #9h,"Simonds","Education: Elementary and Secondary","Direct Aid to Public Education","HB  1833 - Small Family Day Home Provider Incentive Pilot Program","","$162,000",,,,,,,"Page 209, after line 45, insert:'J. Out of this appropriation, $162,000 is provided for the Small Family Day Home Provider Incentive Pilot Program established in House Bill 1833.' ","<p>(This amendment provides $162,000 the second year to initiate a pilot program with Ready Region Chesapeake Bay to support small day home providers with training, achieving voluntary registration or licensure or participation in VQB5.)</p>",
136 #3h,"Simonds","Education: Higher Education","Christopher Newport University","CNU - O & M for New Facilities Coming Online","","$825,000","","$540,000","","5.50","","3.50","","<p>(This amendment requests funding for the operations and maintenance of the Integrated Science Center to include custodial, trades and scientific technical positions.)</p>",
358 #3h,"Simonds","Natural and Historic Resources","Secretary of Natural and Historic Resources","HB 2034 - Tidal and Nontidal Wetlands Task Force","","$100,000",,,,,,,"","<p>(This amendment provides $100,000 from the general fund in fiscal year 2026 pursuant to House Bill 2034. This amendment is a placeholder until a fiscal impact statement for the legislation is produced.)</p>",
367 #2h,"Simonds","Natural and Historic Resources","Department of Wildlife Resources","HB 2335 - Free Fishing License, Blue Catfish","","$50,000",,,,,,,"","<p>(This amendment provides $50,000 from the general fund in fiscal year 2026 pursuant to House Bill 2335, which directs the creation of a program allowing for a digital fishing license obtained at no cost to catch blue catfish. This amendment is a placeholder until a fiscal impact statement for the legislation is produced.)</p>",
390 #25h,"Simonds","Public Safety and Homeland Security","Department of Corrections","HB 2325 - State Board of Local and Regional Jails, Standards for Pregnant and Postpartum Incarcerated Persons","","$50,000",,,,,,,"","<p>(This amendment provides $50,000 from the general fund in fiscal year 2026 pursuant to House Bill 2325. This amendment is a placeholder until a fiscal impact statement for the legislation is produced.)</p>",
394 #13h,"Simonds","Public Safety and Homeland Security","Department of Criminal Justice Services","HB 2328 - Admission to Bail, Pregnant Persons of Persons Who Have Recently Given Birth","","$50,000",,,,,,,"","<p>(This amendment provides $50,000 from the general fund in fiscal year 2026 pursuant to House Bill 2328. This amendment is a placeholder until a fiscal impact statement for the legislation is produced.)</p>",
394 #14h,"Simonds","Public Safety and Homeland Security","Department of Criminal Justice Services","HB 2033 - Human Trafficking Training, ABC Retail Licensees","","$50,000",,,,,,,"","<p>(This amendment provides $50,000 from the general fund in fiscal year 2026 pursuant to House Bill 2033. This amendment is a placeholder until a fiscal impact statement for the legislation is produced.)</p>",
394 #15h,"Simonds","Public Safety and Homeland Security","Department of Criminal Justice Services","Expand Safer Communities Program","","$8,050,000",,,,,,,"Page 511, line 12, strike '$14,000,000' and insert '$22,050,000'.Page 511, line 19, strike the second '$13,000,000' and insert '$20,500,000'.Page 511, line 20, after 'Roanoke' insert:'the City of Hampton, the City of Newport News, the City of Chesapeake,'. ","<p>(This amendment provides $8.1 million from the general fund in fiscal year 2026 to support the expansion of the Safer Communities Program to the Cities of Hampton, Newport News, and Chesapeake.)</p>",
438 #10h,"Simonds","Transportation","Department of Transportation","Funding for Wildlife Corridor Plan ","","$460,000",,,,,,,"Page 551, after line 40, insert:'P.  Out of the amounts in this item, $460,000 from the general fund in the second year is provided to the Department to support the Wildlife Corridor Action Plan and to advance wildlife crossing projects.' ","<p>(This amendment provides $460,0000 general fund in fiscal year 2026 to support the Wildlife Corridor Action Plan and leverage federal funds for wildlife crossing projects.)</p>",
479 #2h,"Simonds","Independent Agencies","State Corporation Commission","HB 1828: Defrayal Costs to Eliminate Cost Sharing for Breast Examinations","$460,000","$460,000",,,,,,,"","<p>(This amendment provides $460,000 from the general fund each year to defray the cost of mandating no cost sharing for breast examinations imposed by health insurance carriers serving the individual and group markets.  The funding defrays state costs to the state health insurance plan and the impact on qualified health plans sold through the Health Benefit Exchange.)</p>",
C-48 #6h,"Simonds","Central Appropriations","Central Capital Outlay","CNU: Replace ROTC Facility- Planning","","$625,000",,,,,,,"Page 632, line 30, after 'year', insert, 'and $625,000 the second year'.Page 633, line 29, after 'year', insert, 'and $625,000 the second year'.Page 633, after line 48, insert:            '242       Christopher Newport University       Replace Reserve Officer Training Corps (ROTC) Facility.' ","<p>(This amendment provides $625,000 the second year from the general fund to add a project to the planning pool for Christopher Newport University to replace its ROTC facility.)</p>",
240.10 #1h,"Singh","Education: Higher Education","Maintain Affordable Access","Maintain Affordable Access - Tuition Reduction","","$55,000,000",,,,,,,"Page 299, strike lines 45 through 48 and insert:'A. 1. Out of this appropriation, $50,000,000 the second year from the general fund is designated to support the state share of a five percent reduction in tuition and mandatory  educational and general fee charges to Virginia undergraduate students in fiscal year 2026 from current fiscal year 2025 levels.2. Public colleges and universities shall reduce costs by the equivalent of 2.5 percent of its in-state undergraduate tuition revenue in order to effect their share of the five percent reduction in tuition and mandatory educational and general fee charges to Virginia undergraduate students in fiscal year 2026 from current fiscal year 2025 levels.B. 1. The Boards of Visitors of the institutions of higher education shall use these supplemental general fund appropriations provided in this act as well as equivalent cost reduction strategies to reduce tuition and mandatory educational and general fee charges to Virginia undergraduate students in fiscal year 2026 by five percent from current fiscal year 2025 levels.2. The Boards of Visitors of the institutions of higher education shall provide to the State Council of Higher Education for Virginia its cost cutting strategies by July 31, 2025.  By September 1, 2025, the Council shall report on these actions to the Chairs of the House Appropriations and Senate Finance and Appropriations Committees'Page 300, strike lines 1 through 10. ","<p>(This amendment provides supplemental funding which along with cost cutting measures will reduce tuition and fees for Virginia undergraduates by five percent.)</p>",
109 #4h,"Sullivan","Commerce and Trade","Department of Energy","HB 2357: Support for Energy Storage Development","","$150,000",,,"","1.00","","","Page 123, after line 48, insert:'F. Out of this appropriation, $150,000 the second year from the general fund is provided to support the costs associated with workgroups directed in House Bill 2537 of the 2025 General Assembly Session.' ","<p>(This amendment provides $150,000 and one position for the Department of Energy to support storage development in Virginia and local review of such developments. This position will also provide additional capacity to the agency for what is required by House Bill 2537 of the 2025 General Assembly Session.)</p>",
109 #5h,"Sullivan","Commerce and Trade","Department of Energy","HB 1791: Rural EV Charging Network ","","$25,000,000",,,,,,,"Page 123, after line 48, insert:'F. Out of this appropriation, $25,000,000 the second year from the general fund is provided to capitalize the Electric Vehicle Rural Infrastructure Fund, pursuant to House Bill 1791 of the 2025 General Assembly Session.' ","<p>(This amendment provides $25.0 million the second year to capitalize the Electric Vehicle Rural Infrastructure Fund.)</p>",
109 #6h,"Sullivan","Commerce and Trade","Department of Energy","HB 2578: Use of Waste Heat from Data Centers","","$120,000",,,"","1.00","","","Page 123, after line 48, insert:'F. Out of this appropriation, $120,000 the second year from the general fund is provided to the department to effectuate the provisions of House Bill 2578 of the 2025 General Assembly Session.'  ","<p>(This amendment provides $120,000 and one position for the Department of Energy to accelerate efforts in the Commonwealth related to utilizing waste heat from data centers.)</p>",
110 #1h,"Sullivan","Commerce and Trade","Department of Energy","Federally Funded Positions ","","$100,000",,,"","","","23.00","Page 124, after line 1, insert: 'Out of this appropriation, $100,000 the second year from the general fund is provided for the department to hire positions supported by federal funding.'  ","<p>(This amendment provides $100,000 for the Department of Energy to hire positions supported by federal funds. Additionally, this amendment increases the Department of Energy's nongeneral fund position authorization by 23 positions to accommodate for any hiring needs of the agency related to federal funding received from the Infrastructure Investment Jobs Act and Inflation Reduction Act.)</p>",
183 #4h,"Sullivan","Education: Higher Education","University of Virginia","UVA - Virginia Clean Energy Technical Assistance Center","","$1,000,000",,,"","6.00","","","","<p>(This amendment requests funding to establish the Virginia Clean Energy Technical Assistance Center, consisting of public institutions of higher education, to serve as an interdisciplinary study, research, and information resource and to provide technical assistance to the the Virginia Energy Facility Review Board, state agencies, planning district commissions, localities, other public bodies, and private entities in matters related to critical interconnection projects. The Center will collaborate with the the the Virginia Energy Facility Review Board to issue the regional energy report and to establish the model local ordinance.)</p>",
261 #2h,"Sullivan","Finance","Department of the Treasury","HB 1780:  Wrongful Incarceration - Merritt","","$6,000,000",,,,,,,"","<p>(This amendment provides $6.0 million the second year from the general fund in accordance with the provisions of House Bill 1780, which presents a claim for wrongful incarceration compensation for Mr. Gilbert Merritt. This is a placeholder amendment until the final payment amount is determined.)</p>",
